Physical,Horizon,BOOK,2018,6,1,Oscar and the cricket : a book about moving and rolling / Geoff Waring.,"Waring, Geoff","Motion Juvenile literature, Force and energy Juvenile literature, Motion Juvenile fiction, Force and energy Juvenile fiction","Candlewick Press,",2008.
Physical,Horizon,BOOK,2018,6,7,"Nancy Drew diaries. #6 ""Monkey wrench blues"" and ""Dress reversal"" / Stefan Petrucha & Sarah Kinney, writers ; Sho Murase, artist ; with 3D CG elements and color by Carlos Jose Guzman.","Petrucha, Stefan","Drew Nancy Fictitious character Comic books strips etc, Internal combustion engines Comic books strips etc, Automobiles Fuel consumption Comic books strips etc, Dresses Comic books strips etc, Kidnapping Comic books strips etc, Graphic novels, Comics Graphic works","Papercutz,",2015.
Digital,OverDrive,EBOOK,2018,6,1,"Mental: Lithium, Love, and Losing My Mind",Jaime Lowe,"Biography & Autobiography, History, Nonfiction, Psychology","Penguin Group (USA), Inc.",2017
Physical,Horizon,VIDEODISC,2018,6,1,The shootist / Paramount ; [presented by] Dino De Laurentiis ; produced by M.J. Frankovich and William Self ; directed by Don Siegel ; screenplay by Miles Hood Swarthout and Scott Hale.,,"Criminals Drama, Carson City Nev Drama, Western films, Feature films, Fiction films, Video recordings for the hearing impaired","Paramount Home Entertainment,",2005.
Digital,OverDrive,EBOOK,2018,6,1,Guppy Up!,Jonathan Fenske,"Beginning Reader, Juvenile Fiction","Penguin Group (USA), Inc.",2015
Digital,OverDrive,AUDIOBOOK,2018,6,19,On Writing: A Memoir Of The Craft (unabridged) (Unabridged),Stephen King,"Language Arts, Nonfiction",Simon & Schuster - All Library,2008
Physical,Horizon,BOOK,2018,6,1,The border / Steve Schafer.,"Schafer, Steve","Survival Fiction, Illegal aliens Fiction, Gangs Fiction, Murder Fiction, Voyages and travels Fiction, Sonoran Desert Fiction","Sourcebooks Fire,",[2017]
Physical,Horizon,VIDEODISC,2018,6,6,American dad! Vol. 11 / 20th Century Fox Television ; Fuzzy Door Productions.,,"United States Central Intelligence Agency Drama, Intelligence officers Drama, Families Drama, Extraterrestrial beings Drama, Human alien encounters Drama, Animated television programs, Television comedies, Fiction television programs","Twentieth Century Fox Home Entertainment,",[2016]
Digital,OverDrive,EBOOK,2018,6,1,The Jungle (World Digital Library Edition),Upton Sinclair,"Fiction, Literature",Barnes & Noble World Digital Library,2005
Digital,OverDrive,EBOOK,2018,6,5,"The Echo Killing: Harper McClain Series, Book 1",Christi Daugherty,"Fiction, Mystery, Suspense, Thriller",Macmillan Publishers,2018
